Price,Close,High,Low,Open,Volume
Ticker,8801.T,8801.T,8801.T,8801.T,8801.T
Date,,,,,
2023-03-28,758.9823608398438,774.285080340714,752.6720075026014,771.7609043417993,7932300
2023-03-29,772.0764770507812,772.2341983345091,758.1935954542554,761.1910508988163,10294800
2023-03-30,783.2660522460938,784.0652837869379,772.5560686120838,776.3924736703684,8780100
2023-03-31,794.1358032226562,801.488932024719,792.8570211201248,794.775223543368,15656100
2023-04-03,801.3291015625,801.3291015625,787.1024524061927,799.2510293225625,10711200
2023-04-04,801.489013671875,806.4443314107865,797.6526084345767,804.6859985233242,10188900
2023-04-05,777.8310546875,793.1766735222719,775.7529826239946,792.6971229336853,9337200
2023-04-06,776.3924560546875,782.4667444128527,773.3552826061579,775.9129054332825,8485200
2023-04-07,772.3961791992188,776.7121347797711,771.2772667783382,774.6341211187679,4644000
2023-04-10,776.8720092773438,782.9462976558478,773.9947055392795,777.8311105233652,4782000
2023-04-11,791.258544921875,793.4964283642444,781.6675322561553,782.6266335227273,7488600
2023-04-12,791.0986328125,799.5707325725665,788.3811988824388,794.9350376732417,7126500
2023-04-13,793.1766967773438,794.1357979826367,782.1470329164738,790.619074050265,5234400
2023-04-14,798.7714233398438,800.2100751280518,792.3774544181802,799.0911627631508,8079900
2023-04-17,800.8494873046875,800.8494873046875,793.3365475555112,797.3327634562543,5013600
2023-04-18,804.0465087890625,809.6413049701744,800.2101038826512,805.3253494504618,6531600
2023-04-19,805.4851684570312,806.124588793945,800.8495319963642,805.0056178390694,5091000
2023-04-20,807.0836791992188,808.0427804222719,802.4480428007596,805.005607036306,4368000
2023-04-21,806.1245727539062,808.6821955117769,803.8866894275775,805.0056018212956,4568400
2023-04-24,813.6375732421875,816.0353264624875,804.366299816292,805.9647629372273,6178800
2023-04-25,820.8307495117188,821.7898507023999,815.7155626743826,817.7936347671555,5769600
2023-04-26,828.34375,830.1020826744846,809.161726136927,813.9572321026952,9124200
2023-04-27,828.5036010742188,830.1021226527578,819.2323281198169,821.6300812181784,7877700
2023-04-28,860.3138427734375,860.3138427734375,826.5854284583177,841.4514982052389,17769600
2023-05-01,856.3175659179688,859.3547394580364,849.4440458299307,855.8380152821104,7225200
2023-05-02,842.2507934570312,859.6744276821731,840.8121415372178,858.7153264022976,7141200
2023-05-08,847.0462646484375,850.4031189884724,839.5332659090967,846.7265252091714,8246400
2023-05-09,854.3993530273438,858.8751784207819,848.4849342826487,852.641020230123,6887700
2023-05-10,852.6409912109375,857.4364973482318,845.9272826187254,855.1986139971256,8834100
2023-05-11,838.8939208984375,853.120570063694,835.0575158616136,847.2060927856256,11192400
2023-05-12,858.0758666992188,859.834199332129,830.5816136325975,834.2581486064605,11682000
2023-05-15,853.4402465820312,863.8305491959318,851.6819137954935,859.994144178835,6824700
2023-05-16,852.960693359375,856.4774174606442,844.4886518186979,854.2395340537792,8025600
2023-05-17,853.60009765625,858.7152847210008,849.7636927229635,853.1205470395892,6075600
2023-05-18,855.9978637695312,862.3918916019697,846.8864019142814,858.5554866102856,7122000
2023-05-19,865.1093139648438,869.4252695223181,854.3993306611097,859.0350256561779,9806700
2023-05-22,874.2207641601562,874.2207641601562,864.3100710423051,866.2282734869791,7011000
2023-05-23,868.7858276367188,881.0943322064419,862.5516697638875,879.1761297840322,11575800
2023-05-24,869.265380859375,881.254146035529,868.9456999676416,873.7412060381033,7428600
2023-05-25,863.5108032226562,872.7821347901687,861.4327895467046,865.5888754375025,8405100
2023-05-26,849.763671875,864.3100597364639,848.9644403798047,859.0350030826123,7461300
2023-05-29,865.5888671875,870.3843733769045,858.5554776226714,860.4736800984332,7045500
2023-05-30,865.7487182617188,867.5070509803343,853.2804024377891,865.4289788300485,6069600
2023-05-31,851.2022705078125,861.9122528609674,849.2840682080765,858.3955291318222,27491700
2023-06-01,854.3993530273438,859.1948593278506,849.4440355427502,852.4811505071409,9538800
2023-06-02,877.2579956054688,877.2579956054688,859.1948823633471,860.473723103699,9703200
2023-06-05,900.7559204101562,902.0347025311187,891.4845890512225,895.1611242357977,13704900
2023-06-06,921.8561401367188,922.3356907456786,893.7224653851478,896.1202184299468,12751800
2023-06-07,897.7186889648438,928.2500564875439,894.2019651859927,927.1311441561422,12931500
2023-06-08,881.8935546875,900.2763472273014,875.1798462776984,896.1202029953059,11785200
2023-06-09,904.752197265625,906.1908492004319,884.1315195333921,890.0459970005641,12219600
2023-06-12,897.7186889648438,910.5066849642003,893.5626034363029,903.3134262385205,5706600
2023-06-13,904.2726440429688,911.6257734239869,900.5961086219081,907.6294985479492,9990600
2023-06-14,920.7371826171875,928.0903115746643,914.0234739939372,914.3431548916036,12570300
2023-06-15,920.41748046875,930.00849256624,918.9788286541265,926.4917686175295,12074100
2023-06-16,916.2613525390625,916.2613525390625,901.0756026268799,911.1461655088195,17270400
2023-06-19,908.5885009765625,920.8970051815348,903.4733141813514,920.7371354714409,8533800
2023-06-20,907.4696044921875,910.0271686650739,901.0755769821884,908.588516865741,7603200
2023-06-21,926.8114624023438,927.29101301389,894.6815714287361,896.7596435917347,9326100
2023-06-22,929.5289306640625,934.164566941878,924.8932358473555,930.6478430359092,10637400
2023-06-23,919.6181640625,941.0381294918882,914.0234266790371,937.3615359340238,11850000
2023-06-26,927.6107788085938,929.5289813092912,912.7447094281882,926.8114887407067,8891400
2023-06-27,913.8635864257812,929.6887564429119,900.755908871864,928.7296552297524,10885800
2023-06-28,919.1386108398438,922.1757840878861,910.3468890537004,910.3468890537004,11421300
2023-06-29,914.662841796875,927.4508379747037,911.6256685573484,919.458347680922,10763100
2023-06-30,914.5030517578125,916.9008049087245,903.3135175405916,910.8265164393792,9546900
2023-07-03,928.4099731445312,931.2872767803098,915.941657389491,918.8189610252695,6541800
2023-07-04,921.0568237304688,930.8077053464955,916.2613177781427,928.0902714864744,5859600
2023-07-05,931.2872924804688,932.406263426211,909.7075148483261,913.38405004306,5777700
2023-07-06,930.1682739257812,931.6069256942893,922.9750150832407,926.3318692097596,7393800
2023-07-07,903.9529418945312,922.1758659221133,903.9529418945312,920.7372140251989,10354800
2023-07-10,891.6444091796875,902.354333242264,884.9307009749541,898.0383779677926,12253500
2023-07-11,898.0383911132812,905.7112006024339,891.3246828102726,895.9603775692295,8055600
2023-07-12,897.3990478515625,904.5923068959581,888.9269481733464,903.9528865790478,7335900
2023-07-13,887.0087280273438,891.9641036718175,882.6927726869962,889.0868001115858,7224300
2023-07-14,887.80810546875,901.87488523362,881.7337583286094,892.6036118747049,7386000
2023-07-18,881.2540893554688,896.9194472040149,879.3358870506581,885.7299142463232,6802800
2023-07-19,899.9566650390625,899.9566650390625,883.651943578262,887.3285374433924,7704300
2023-07-20,905.5514526367188,906.3506841679937,897.0793525418464,902.1945982509114,8905200
2023-07-21,901.7149658203125,906.3506019433913,892.1239541595359,904.7520804869654,6288000
2023-07-24,910.8264770507812,925.3728065113289,907.7893036780033,910.1870567252246,8950500
2023-07-25,913.2242431640625,914.662895012979,898.5179852380983,902.3543901685422,10837800
2023-07-26,919.6181640625,921.536366426989,904.911965447714,908.9082398866965,7033500
2023-07-27,938.9600830078125,940.8782854245802,927.450868507206,928.7296506054204,8949600
2023-07-28,923.9341430664062,927.1311861151003,895.8005271790296,910.8264655989938,15383700
2023-07-31,933.045654296875,938.320711215793,928.2501480069494,931.9267418551558,13095900
2023-08-01,935.443359375,938.6404024299369,927.9304194197935,938.4805327155224,5785200
2023-08-02,904.752197265625,921.2167889213813,902.8339946858823,919.4584560695829,8797500
2023-08-03,902.9937744140625,905.8710779969008,891.4845600827097,895.1610951478169,11427300
2023-08-04,906.9900512695312,910.0271660334123,894.8414165973325,900.5960237780226,8183100
2023-08-07,936.882080078125,938.3207319969647,912.2651862705757,913.5439684632455,12192600
2023-08-08,962.2981567382812,963.5769973273324,939.1199174325749,941.5176703634335,10929000
2023-08-09,959.7406005859375,968.0527717891568,952.8670226142568,963.8966861875472,7995000
2023-08-10,974.7664794921875,977.6437830313959,951.4283702982385,952.7071523582565,10155600
2023-08-14,961.978515625,989.1530889906174,960.3799940920542,977.6438159078567,9846900
2023-08-15,967.733154296875,973.8074426569333,957.3429103428267,962.9376480813306,8010600
2023-08-16,960.3800048828125,964.2164097738743,950.3094420437756,959.101222765423,8730600
2023-08-17,971.2498779296875,974.7665434602374,961.3391260627711,969.9710372468566,9292500
2023-08-18,953.5065307617188,966.7740787984009,949.6701256871219,959.1012686492072,7826100
2023-08-21,961.6588134765625,967.0936811984348,952.3874824526465,963.5770158581388,8278800
2023-08-22,972.5286865234375,973.4877877921983,956.5436458644591,960.6997903883531,7925400
2023-08-23,980.201416015625,989.1530661467178,972.2089256132623,973.8073885704002,7354200
2023-08-24,982.759033203125,987.5545394111393,970.6104565020851,973.4877602268936,7302300
2023-08-25,981.7999877929688,984.6772329709488,973.1680766423468,979.2423649761162,5167500
2023-08-28,1000.6622924804688,1000.6622924804688,984.9969338317702,987.2348756609509,6745200
2023-08-29,1020.4837036132812,1024.0003690797541,1009.9335901360762,1010.2533295704052,10240200
2023-08-30,1010.8926391601562,1028.4761997401022,1007.0562344574612,1014.7290438628513,11961600
2023-08-31,1020.4837036132812,1024.3201085140831,1015.6881974872789,1018.8852405972092,15737700
2023-09-01,1038.7066650390625,1042.543070080758,1017.9261767558087,1022.082204165785,8360400
2023-09-04,1067.1600341796875,1067.7995131142407,1039.0264733932981,1042.5431392221474,8829900
2023-09-05,1087.620849609375,1088.57995088769,1070.3570265997023,1073.8736922609269,12956400
2023-09-06,1090.1783447265625,1091.457185375661,1082.505534987542,1088.5798817235284,10735800
2023-09-07,1108.4012451171875,1121.8286618850013,1095.6133071996962,1096.572408397397,10937100
2023-09-08,1100.408935546875,1111.5984117383264,1094.334588260078,1102.6467605384878,11460900
2023-09-11,1053.412841796875,1091.776889242251,1042.5429893280914,1087.6207450764082,17829900
2023-09-12,1070.0372314453125,1071.6358115444832,1041.2641945936807,1064.6023635103777,14184600
