Price,Close,High,Low,Open,Volume
Ticker,8002.T,8002.T,8002.T,8002.T,8002.T
Date,,,,,
2023-03-28,1605.8790283203125,1624.1017690672097,1591.3008357227948,1608.1568709136748,6120000
2023-03-29,1623.646240234375,1623.646240234375,1600.4122452141862,1608.1569102209157,6348700
2023-03-30,1631.571044921875,1638.5634922572544,1616.1876607840402,1624.1124344308034,8151400
2023-03-31,1673.9918212890625,1680.5181051927236,1641.826564906733,1643.2250543146604,7620400
2023-04-03,1686.5782470703125,1704.758609600921,1671.6610265323773,1687.976736495744,6409800
2023-04-04,1672.5933837890625,1699.164683364307,1668.8640785855196,1686.578278302349,6227400
2023-04-05,1622.7138671875,1652.5483077218291,1612.9244413871731,1635.766434921269,6745000
2023-04-06,1619.45068359375,1634.3679034771696,1602.6688112249028,1610.1274211666127,5399700
2023-04-07,1638.5633544921875,1643.2249856571725,1623.646134764236,1625.5107872302299,3555900
2023-04-10,1648.81884765625,1659.5405987153663,1643.2248905819285,1652.5481523724643,2930300
2023-04-11,1723.8712158203125,1733.6606413292975,1656.2775634963684,1663.2700102885005,14055300
2023-04-12,1775.149169921875,1788.201737347771,1750.9086875594965,1754.1718294159705,12836200
2023-04-13,1768.6226806640625,1788.6676925956795,1747.1791795279141,1785.4045511184395,8162200
2023-04-14,1824.5625,1852.0661248083802,1787.269449412366,1795.6603857945836,15663000
2023-04-17,1802.65283203125,1817.1038891279577,1785.404796141631,1817.1038891279577,7348900
2023-04-18,1811.97607421875,1824.5624786447613,1797.058854158292,1804.0513010616316,5818100
2023-04-19,1817.5699462890625,1838.54728601284,1803.1188900349048,1826.8932083885193,5897000
2023-04-20,1803.5850830078125,1808.2467141347388,1786.337047838185,1804.517409233198,5034100
2023-04-21,1807.780517578125,1816.6376165554288,1788.6678303113113,1792.863298247929,4341300
2023-04-24,1804.05126953125,1815.2391843810562,1797.991148987605,1814.3068581435723,3418900
2023-04-25,1793.32958984375,1822.6978675043053,1790.9987741564044,1816.1715835797374,5935600
2023-04-26,1770.4874267578125,1784.472319544209,1759.7656756215752,1783.5399933584495,6714700
2023-04-27,1787.7357177734375,1787.7357177734375,1753.2396439493868,1757.4351123874471,5402800
2023-04-28,1790.06640625,1803.1189737955729,1762.0966186523438,1801.2543212890625,7960800
2023-05-01,1808.2467041015625,1829.690207166443,1804.5173992207137,1811.5098458723053,6068700
2023-05-02,1782.6077880859375,1823.1639799173904,1776.5476674674444,1817.570022423397,6660100
2023-05-08,1784.4725341796875,1798.92359179713,1753.7057663490032,1779.81090269019,13077500
2023-05-09,1815.7054443359375,1815.7054443359375,1750.90876737504,1767.2244774011654,12012400
2023-05-10,1804.9835205078125,1838.0811005584465,1802.6527050112888,1827.3593492744383,8223100
2023-05-11,1811.5098876953125,1812.9083770579184,1783.073937322329,1791.4648734979635,5325500
2023-05-12,1790.5325927734375,1819.4347070020115,1787.269450844405,1811.5099337457896,7462600
2023-05-15,1821.29931640625,1821.29931640625,1801.2543021739828,1803.1189546607052,5521600
2023-05-16,1803.5850830078125,1830.6225435439856,1797.0587994301156,1827.359401755137,6757300
2023-05-17,1781.6754150390625,1793.3294928454407,1772.8183159062153,1788.2016986106341,8985200
2023-05-18,1830.6226806640625,1832.4873332545021,1801.720565512249,1803.5852181026885,11709400
2023-05-19,1852.066162109375,1882.3667663220883,1842.742899274694,1844.1413886998962,11614200
2023-05-22,1856.261474609375,1859.9907794302878,1831.088667068213,1845.5397232492505,6893700
2023-05-23,1826.8934326171875,1889.8254595126507,1823.1641273196785,1863.7203224300881,9472400
2023-05-24,1832.4873046875,1855.7954617046394,1828.7579995647577,1831.5549784068144,6744500
2023-05-25,1825.0286865234375,1845.0737014712045,1820.833218278556,1827.3595022150382,6034200
2023-05-26,1893.08837890625,1899.614662409005,1841.8104370988904,1843.675089528249,12688600
2023-05-29,1965.8099365234375,1978.8625042783951,1935.5093328065716,1939.7048010135222,13031700
