Price,Close,High,Low,Open,Volume
Ticker,9501.T,9501.T,9501.T,9501.T,9501.T
Date,,,,,
2023-03-28,448.0,452.0,441.0,450.0,15074300
2023-03-29,459.0,459.0,449.0,450.0,15880400
2023-03-30,477.0,478.0,457.0,458.0,23185700
2023-03-31,473.0,486.0,472.0,478.0,20065500
2023-04-03,482.0,483.0,472.0,475.0,14594200
2023-04-04,489.0,497.0,484.0,485.0,22955300
2023-04-05,485.0,493.0,481.0,488.0,13307000
2023-04-06,496.0,506.0,485.0,485.0,31171800
2023-04-07,486.0,498.0,485.0,497.0,12337700
2023-04-10,490.0,501.0,486.0,491.0,16274900
2023-04-11,497.0,498.0,491.0,491.0,12236500
2023-04-12,496.0,501.0,491.0,499.0,12409700
2023-04-13,489.0,499.0,487.0,498.0,12597600
2023-04-14,497.0,498.0,487.0,490.0,14851100
2023-04-17,489.0,497.0,487.0,497.0,15345900
2023-04-18,494.0,496.0,489.0,489.0,12030700
2023-04-19,491.0,493.0,488.0,492.0,10188800
2023-04-20,489.0,492.0,488.0,489.0,7861900
2023-04-21,505.0,509.0,486.0,490.0,30513300
2023-04-24,500.0,509.0,500.0,505.0,13333000
2023-04-25,490.0,505.0,490.0,502.0,17791200
2023-04-26,479.0,490.0,475.0,489.0,19827000
2023-04-27,480.0,480.0,471.0,478.0,13289500
2023-04-28,487.0,489.0,478.0,485.0,15878700
2023-05-01,494.0,503.0,484.0,487.0,27854600
2023-05-02,486.0,494.0,486.0,492.0,16652300
2023-05-08,489.0,499.0,485.0,486.0,18300400
2023-05-09,496.0,496.0,487.0,490.0,12776300
2023-05-10,492.0,498.0,490.0,497.0,11458800
2023-05-11,486.0,494.0,484.0,491.0,13313000
2023-05-12,499.0,504.0,484.0,487.0,25367600
2023-05-15,510.0,514.0,498.0,504.0,22438100
2023-05-16,522.0,530.0,501.0,511.0,59033600
2023-05-17,505.0,528.0,503.0,521.0,40635700
2023-05-18,481.0,504.0,480.0,502.0,39014500
2023-05-19,475.0,484.0,472.0,481.0,26876300
2023-05-22,477.0,480.0,472.0,476.0,17303400
2023-05-23,475.0,479.0,472.0,477.0,19141300
2023-05-24,491.0,500.0,477.0,478.0,42155400
2023-05-25,486.0,494.0,479.0,486.0,18880000
2023-05-26,477.0,485.0,477.0,482.0,19031700
2023-05-29,480.0,480.0,474.0,477.0,14262300
2023-05-30,487.0,487.0,478.0,481.0,13062100
2023-05-31,481.0,491.0,479.0,487.0,28232900
2023-06-01,500.0,501.0,479.0,483.0,30136100
2023-06-02,522.0,523.0,497.0,502.0,58563100
2023-06-05,503.0,532.9000244140625,502.1000061035156,525.0,50070100
2023-06-06,495.70001220703125,505.0,493.20001220703125,504.0,29709200
2023-06-07,493.29998779296875,505.79998779296875,489.3999938964844,496.0,35301600
2023-06-08,510.0,522.0,499.29998779296875,500.0,48551500
2023-06-09,524.7999877929688,526.0,510.1000061035156,515.9000244140625,44148600
2023-06-12,504.3999938964844,530.2999877929688,502.6000061035156,530.0,42960700
2023-06-13,506.20001220703125,512.2999877929688,497.6000061035156,501.29998779296875,32286800
2023-06-14,500.0,509.0,496.20001220703125,506.0,30172700
2023-06-15,492.8999938964844,502.1000061035156,492.5,498.20001220703125,25369900
2023-06-16,506.8999938964844,508.6000061035156,489.0,490.8999938964844,36093000
2023-06-19,506.20001220703125,512.0,501.3999938964844,508.0,18430300
2023-06-20,500.70001220703125,506.8999938964844,498.20001220703125,504.6000061035156,17521500
2023-06-21,506.5,509.1000061035156,497.20001220703125,498.0,20160000
2023-06-22,520.0,524.2999877929688,509.29998779296875,509.70001220703125,41717700
2023-06-23,552.7999877929688,555.5999755859375,518.7000122070312,520.5,83295600
2023-06-26,527.2000122070312,550.0,525.5999755859375,548.5999755859375,40254100
2023-06-27,519.2999877929688,539.5,516.2999877929688,535.0999755859375,29198200
2023-06-28,527.9000244140625,530.7000122070312,515.2999877929688,519.7000122070312,23506500
2023-06-29,528.2000122070312,529.2000122070312,519.2999877929688,525.5,19665900
2023-06-30,527.0999755859375,536.2000122070312,523.0999755859375,529.9000244140625,22811100
2023-07-03,534.7000122070312,537.0,521.4000244140625,521.4000244140625,21762300
