Price,Close,High,Low,Open,Volume
Ticker,8309.T,8309.T,8309.T,8309.T,8309.T
Date,,,,,
2023-03-28,2149.633056640625,2193.330515496926,2146.81386574667,2159.030359620475,3005600
2023-03-29,2170.777099609375,2170.777099609375,2148.2235713017453,2149.1633016478963,2973600
2023-03-30,2188.5859375,2193.880515312294,2164.0383494611833,2180.403408153728,2933600
2023-03-31,2185.697998046875,2209.7642609630484,2177.515468655376,2206.394984154784,3094200
2023-04-03,2229.498779296875,2235.274682870183,2193.880707261476,2194.3620325592515,2790000
2023-04-04,2228.536376953125,2229.4990276559124,2209.764688248768,2219.3911952766434,3222000
2023-04-05,2202.54443359375,2224.2040707248075,2193.399253471748,2194.843229280485,2565800
2023-04-06,2180.4033203125,2197.249703582023,2169.8141651145143,2185.216572675221,2972800
2023-04-07,2186.6611328125,2210.246075693374,2181.366553798426,2201.100893759974,1769000
2023-04-10,2208.320556640625,2213.615135133007,2196.287423703394,2196.768749020883,1094600
2023-04-11,2212.1708984375,2224.685355217173,2195.8058395717744,2218.428126827336,1765800
2023-04-12,2229.498779296875,2232.8680563813045,2210.2457673858485,2216.9843215547075,1582000
2023-04-13,2229.498779296875,2229.9801045946506,2210.2457673858485,2216.502996256932,2113400
2023-04-14,2240.5693359375,2256.4530712943074,2228.054877777591,2255.0090953527792,1948400
2023-04-17,2293.03369140625,2294.4776672824505,2253.0836921647056,2253.0836921647056,2397400
2023-04-18,2321.9130859375,2345.9793492660397,2310.842604806372,2317.0998332717922,3167600
2023-04-19,2350.792724609375,2351.755375192753,2315.6559783160737,2315.6559783160737,2155600
2023-04-20,2364.27001953125,2381.5977314007787,2334.909174418993,2358.0127902450313,2335400
2023-04-21,2324.801025390625,2338.75945804825,2319.0251222219526,2334.908855935802,2490200
2023-04-24,2315.656005859375,2342.6102225145664,2313.2493793723047,2342.1288972171524,1988000
2023-04-25,2345.016845703125,2356.0873275280783,2330.0957615042753,2332.5023879879604,1701400
2023-04-26,2330.576904296875,2335.390156887327,2311.3238939350667,2317.099797043609,2194000
2023-04-27,2344.53564453125,2345.9796204979084,2319.5067277758353,2343.0916685645916,1732800
2023-04-28,2353.199462890625,2394.112114628343,2290.145846683083,2366.1952463837824,3267600
2023-05-01,2385.929443359375,2392.186672079099,2361.8631790527443,2368.1204077724683,1494000
2023-05-02,2363.78857421875,2385.929538261524,2346.9421885340307,2383.5229117351355,1442800
2023-05-08,2353.199462890625,2373.8964514167646,2344.0542819139587,2371.4898248439576,2073400
2023-05-09,2397.96240234375,2398.4437275951236,2347.904576200886,2371.9708387695705,2031200
2023-05-10,2415.29052734375,2430.211612705977,2396.037513973134,2399.8881166472574,1981800
2023-05-11,2440.800537109375,2442.7258382626856,2406.1451163497863,2414.327646251356,1949800
2023-05-12,2401.813232421875,2426.36082257288,2383.522871132891,2424.435521384566,2866400
2023-05-15,2437.91259765625,2441.2818746915104,2384.4854903828355,2435.5059712024927,3927600
2023-05-16,2466.792236328125,2477.3813932450457,2435.024765577363,2449.945850323933,3005400
2023-05-17,2481.231689453125,2496.152772357693,2450.426873134017,2458.6094024687804,2464400
2023-05-18,2505.779541015625,2516.850023044699,2480.7506251238055,2515.887372433475,2947800
2023-05-19,2487.970703125,2512.5182956688914,2482.1947989970254,2509.1490182609064,2017600
2023-05-22,2493.74658203125,2522.6261023790353,2485.5640512660443,2488.4520033008225,2197400
2023-05-23,2473.53076171875,2512.5181117283278,2459.572327764704,2509.6301598757664,2012600
2023-05-24,2489.414306640625,2504.3353900717657,2475.455873753429,2475.455873753429,1292600
2023-05-25,2435.505859375,2465.8293513000244,2434.061883569046,2464.8667007627223,2597000
2023-05-26,2397.96240234375,2424.435291169303,2393.630475081387,2424.435291169303,2708800
2023-05-29,2418.659912109375,2434.5436488456157,2413.3653331972946,2430.6930460004664,2002400
2023-05-30,2373.4150390625,2402.7758821740013,2356.5686536706553,2396.999978611083,3338600
