Price,Close,High,Low,Open,Volume
Ticker,9766.T,9766.T,9766.T,9766.T,9766.T
Date,,,,,
2024-03-28,10175.361328125,10378.47224071172,10061.421060088547,10358.656541922772,489300
2024-03-29,10165.453125,10195.176672149122,10021.78931377924,10091.144257127193,145300
2024-04-01,10021.7890625,10353.701997343054,9962.341969692288,10259.577433730845,296700
2024-04-02,10016.8359375,10106.006583827893,9932.619215968101,10001.974163112018,310800
2024-04-03,9905.8671875,10061.420412988848,9897.9409084942,10021.789017959842,317100
2024-04-04,10081.236328125,10294.2550810043,10066.374554668304,10200.130515778563,381300
2024-04-05,9932.619140625,9987.11231296758,9822.642010988155,9860.29183915212,286800
2024-04-08,9907.849609375,10046.55950390625,9855.338006445312,9917.757458984375,195300
2024-04-09,9887.04296875,9947.480850410862,9813.724882800756,9907.849452600462,374800
2024-04-10,9653.2177734375,9843.44848394761,9616.55873026628,9826.60513978786,422900
2024-04-11,9418.40234375,9522.434770227357,9351.028962793236,9504.600639974096,677200
2024-04-12,9384.71484375,9605.659882828995,9340.12952196276,9529.369443326383,715700
2024-04-15,9281.673828125,9300.498743019787,9141.973143905783,9194.484748612296,444700
2024-04-16,9253.931640625,9308.42481409763,9046.857581429002,9065.682495901365,353200
2024-04-17,9146.92578125,9301.488218628141,9143.953426685035,9253.930545588713,300700
2024-04-18,9332.203125,9402.548854045015,9036.949219994161,9169.714398755175,411400
2024-04-19,8994.345703125,9276.71941158398,8968.585294634006,9183.585627039614,484200
2024-04-22,9287.6181640625,9332.203487017781,9048.8389900131,9178.6318190607,476800
2024-04-23,9201.419921875,9287.61821337959,9147.917534044564,9286.627428419766,304300
2024-04-24,9296.53515625,9421.374059552516,9245.014339014042,9314.369285293216,366100
2024-04-25,9174.6689453125,9248.977819059632,9107.295566448434,9235.1068292935,274900
2024-04-26,9368.8623046875,9401.55820740056,9186.557877438929,9186.557877438929,370400
2024-04-30,9465.958984375,9532.341573024061,9360.935784422754,9517.479799445913,331900
2024-05-01,9358.955078125,9453.079652804427,9247.987158502938,9411.466682946155,232300
2024-05-02,9258.8857421875,9345.084036416532,9226.189837479935,9232.134547426765,179400
2024-05-07,9393.6318359375,9394.622620858494,9246.004882709498,9250.958807314464,321100
2024-05-08,9237.087890625,9340.129523213758,9183.585504473143,9272.75614805957,724500
2024-05-09,9330.2216796875,9413.447613752887,9138.009403393631,9213.309058024219,578500
2024-05-10,10195.177734375,10819.372289540817,10036.652133063048,10819.372289540817,1180300
2024-05-13,10274.439453125,10403.241490628014,9992.065755522239,10358.656169953892,583400
2024-05-14,10690.5693359375,10700.47718518304,10338.840687720834,10398.287783194075,545600
2024-05-15,10774.7861328125,10943.219571210488,10710.385112248563,10923.40387257543,579500
2024-05-16,11086.8828125,11131.468132121314,10750.015953138964,10814.41697036975,435100
2024-05-17,11349.44140625,11438.612050210062,11042.298077054234,11111.653022356504,510400
2024-05-20,11215.6845703125,11463.380784321169,11156.23747895042,11205.776721752154,362100
2024-05-21,11190.916015625,11359.349457205897,11136.422843348826,11339.533758196381,215400
